FEA Run,Global Fitness
1,1848.400461001088
2,143.03857997363272
3,67.38438630433792
4,44.18533836840998
5,30.207674203016776
6,20.871983608308888
7,14.49236314901264
8,10.193396127565633
9,7.256087076323363
10,5.2680960983206875
11,3.585905449323938
12,2.4230507600557565
13,1.7693304195568706
14,1.1849493927767711
15,0.8083317778537464
16,0.5144083446571558
17,0.32149004103177536
18,0.07743637367577869
19,0.0405773155158075
20,0.02697797811820182
21,0.013254090136115395
22,0.006570515004914696
23,0.00464081480432818
24,0.0033013265220765003
25,0.0023869690932305765
26,0.001681304736642131
27,0.0012383102534624163
28,0.0008932050919635377
29,0.0006393568703333254
30,0.0004647545004980165
31,0.0003462603753071975
32,0.00025404877602706947
33,0.000181293088267742
34,0.00013185643608497013
35,8.765383382088579e-05
36,6.404285598880083e-05
37,4.740053555825458e-05
38,3.466445413081413e-05
39,2.505081448204062e-05
40,1.923491766023342e-05
41,1.4401170323568237e-05
42,1.051534692484453e-05
43,8.058356069586047e-06
44,6.036394637961533e-06
45,4.579654769280624e-06
46,3.469736859870453e-06
47,2.534408651571664e-06
48,1.7414071991073048e-06
49,1.2739163175624072e-06
50,8.806658514871053e-07
