FEA Run,Global Fitness
1,6.908705045907164
2,2.703498251595527
3,0.7573129620551033
4,0.03195062363547807
5,0.0091196408097578
6,0.001502279593016187
7,0.0006202377191937281
8,9.603063184870919e-05
9,3.691159790664145e-05
10,9.016057550770284e-06
11,1.6674490521673135e-06
12,7.053121717781607e-07
13,1.5722430690701117e-07
14,7.114089983772942e-08
15,2.5096909883615126e-08
16,9.865289474220162e-09
17,4.7549311155137275e-09
18,1.4787855384668092e-09
19,1.218396494806484e-09
20,4.824163291061723e-10
21,1.7708901012269962e-10
22,5.402300828905027e-11
23,1.830402496239003e-11
24,8.818279439992693e-12
25,6.434408561517557e-12
26,1.858513343222512e-12
27,7.855938122247608e-13
28,5.511147094239277e-13
29,3.6637359812630166e-13
30,1.283417816466681e-13
31,7.149836278586008e-14
32,6.439293542825908e-14
33,5.3734794391857577e-14
34,5.0182080713057076e-14
35,5.0182080713057076e-14
36,5.0182080713057076e-14
37,5.0182080713057076e-14
38,5.0182080713057076e-14
39,5.0182080713057076e-14
40,5.0182080713057076e-14
41,5.0182080713057076e-14
42,5.0182080713057076e-14
43,5.0182080713057076e-14
44,5.0182080713057076e-14
45,5.0182080713057076e-14
46,5.0182080713057076e-14
47,5.0182080713057076e-14
48,5.0182080713057076e-14
49,5.0182080713057076e-14
50,5.0182080713057076e-14
