FEA Run,Global Fitness
1,0.023221591689428497
2,0.0007839871159987517
3,3.9512876777517936e-05
4,1.4768965153241725e-07
5,1.8521000758685347e-08
6,1.3551448252364324e-09
7,4.0594354125536987e-11
8,2.163096272133461e-12
9,1.3389031940688118e-12
10,5.4125746451691626e-14
11,2.348758660237263e-15
12,3.8584525080700053e-16
13,2.3257443273608307e-17
14,1.1748137086062419e-17
15,2.1281397843325965e-19
16,3.00375547059163e-20
17,3.767592986858185e-21
18,8.911652850666027e-22
19,2.6373405242875656e-22
20,4.9816825815345997e-23
21,2.041509981179258e-24
22,6.0751719667877865e-25
23,3.6149871041019163e-25
24,2.696236393516077e-26
25,7.850740906911084e-27
26,1.8041811850509633e-28
27,1.2827219497105952e-28
28,2.994734400050103e-29
29,1.0844406294575985e-29
30,6.253805786418352e-30
31,6.0791619400888585e-30
32,4.3017315072105236e-30
33,1.6355904415618085e-32
34,2.7392290361218686e-33
35,1.4096128496324813e-33
36,9.623150927713031e-34
37,1.6381971914307313e-35
38,6.48643806967987e-36
39,6.580286821574133e-37
40,2.44297908463222e-37
41,2.021844098637182e-37
42,8.717255788319086e-38
43,3.7498421634146735e-38
44,1.8637979813278103e-39
45,8.584638316338155e-40
46,3.1086798910325218e-40
47,2.0476317887649605e-40
48,3.899446348491648e-41
49,4.545978938187776e-42
50,8.516308730543192e-43
